                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99199,                 2.6172,                 1.4709,                0.58779,                0.37558,                0.39967,                0.31228,                0.87993,                  4.274,                 1.7049,             0.00032219,             0.00032219,             0.00032219
                      2,                0.91109,                 1.6018,                 1.3388,                0.50221,                0.57282,                 0.6347,                0.37395,                 1.1908,                 3.9775,                 2.1916,               0.000649,               0.000649,               0.000649
                      3,                0.96697,                 1.3539,                 1.3957,                0.38524,                0.50127,                0.40026,                 0.1889,                 1.3324,                 6.5727,                 2.3299,             0.00096921,             0.00096921,             0.00096921
                      4,                0.97062,                  1.329,                 1.3882,                0.48348,                0.61401,                0.50675,                0.28659,                 1.2403,                 3.8339,                 2.0295,               0.001078,               0.001078,               0.001078
                      5,                0.92468,                 1.2533,                 1.3592,                0.64869,                0.56639,                0.58052,                0.41968,                0.94183,                 2.4849,                 1.7836,               0.001067,               0.001067,               0.001067
                      6,                0.95309,                 1.1687,                 1.3531,                0.54385,                0.60961,                0.62592,                0.41702,                 1.1518,                 1.9957,                 1.9309,               0.001056,               0.001056,               0.001056
                      7,                 0.9358,                 1.1186,                 1.3335,                0.49565,                0.54942,                0.64563,                0.43405,                 1.0722,                 2.2914,                 1.8827,               0.001045,               0.001045,               0.001045
                      8,                0.90964,                 1.0779,                 1.3375,                0.43671,                0.62762,                0.49185,                0.23627,                 1.4914,                 2.1934,                 2.1764,               0.001034,               0.001034,               0.001034
                      9,                0.92445,                 1.0946,                 1.3575,                0.68282,                0.62816,                0.69638,                 0.4671,                 1.0519,                 1.2613,                 1.7984,               0.001023,               0.001023,               0.001023
                     10,                0.89544,                 1.0223,                 1.3206,                0.69667,                0.83186,                0.78395,                0.59461,                 0.8974,                 1.2191,                 1.6479,               0.001012,               0.001012,               0.001012
                     11,                0.90219,                 1.0343,                 1.3228,                0.62558,                 0.8307,                0.78817,                0.55113,                 1.0007,                 1.1384,                 1.7239,               0.001001,               0.001001,               0.001001
                     12,                0.90712,                 0.9811,                 1.3311,                 0.6437,                0.83821,                 0.8152,                0.61604,                0.91444,                 1.0016,                 1.6223,             0.00099001,             0.00099001,             0.00099001
                     13,                0.87733,                0.98564,                 1.3219,                0.71952,                0.83695,                0.84369,                0.62194,                0.91638,                 1.0164,                 1.6489,             0.00097901,             0.00097901,             0.00097901
                     14,                0.86965,                0.91059,                 1.3075,                0.57215,                0.75835,                 0.7393,                0.52944,                0.94989,                 1.1779,                 1.6903,             0.00096801,             0.00096801,             0.00096801
                     15,                0.87261,                0.85895,                 1.2805,                0.76517,                 0.9116,                0.92672,                0.71476,                0.86571,                0.74358,                 1.6229,             0.00095702,             0.00095702,             0.00095702
                     16,                 0.8441,                0.81042,                 1.2715,                0.64542,                0.79279,                0.80347,                0.59683,                0.91116,                 1.0774,                 1.6634,             0.00094602,             0.00094602,             0.00094602
                     17,                0.84753,                  0.866,                 1.2915,                0.75251,                0.85728,                0.89784,                0.66761,                 0.9313,                0.93873,                 1.6608,             0.00093502,             0.00093502,             0.00093502
                     18,                 0.8472,                0.86981,                 1.2658,                0.64448,                0.74848,                 0.7269,                0.44703,                  1.053,                 1.4938,                 1.7249,             0.00092402,             0.00092402,             0.00092402
                     19,                0.83878,                0.84586,                 1.2849,                0.78228,                0.90137,                 0.9282,                0.68053,                0.94011,                0.84798,                  1.716,             0.00091302,             0.00091302,             0.00091302
                     20,                0.82819,                 0.7952,                 1.2579,                0.63474,                0.79585,                 0.8218,                0.63244,                0.88829,                0.96009,                 1.5948,             0.00090202,             0.00090202,             0.00090202
                     21,                 0.8257,                0.83627,                 1.2701,                0.66263,                  0.745,                0.78997,                0.62588,                0.80004,                 1.1472,                 1.5208,             0.00089102,             0.00089102,             0.00089102
                     22,                0.81624,                0.86159,                 1.2444,                0.77096,                0.86383,                0.86345,                0.65551,                0.85692,                0.86433,                 1.5629,             0.00088002,             0.00088002,             0.00088002
                     23,                0.79888,                0.80374,                 1.2312,                0.71575,                0.75556,                0.81763,                0.64959,                0.81496,                0.96242,                 1.5136,             0.00086902,             0.00086902,             0.00086902
                     24,                0.81275,                0.76132,                 1.2488,                0.77208,                  0.849,                0.89015,                0.70258,                0.80308,                0.85732,                 1.5016,             0.00085803,             0.00085803,             0.00085803
                     25,                 0.7924,                0.73906,                 1.2163,                0.74141,                 0.8682,                0.85169,                0.65883,                0.86867,                0.86102,                 1.5862,             0.00084703,             0.00084703,             0.00084703
                     26,                0.80621,                0.75136,                 1.2421,                0.70803,                0.79686,                0.78067,                 0.6055,                0.82541,                 1.1354,                 1.5244,             0.00083603,             0.00083603,             0.00083603
                     27,                0.79853,                 0.7078,                 1.2514,                0.71168,                0.81263,                0.82987,                0.63154,                0.87894,                 1.0725,                 1.5547,             0.00082503,             0.00082503,             0.00082503
                     28,                0.80434,                0.70194,                 1.2333,                0.76365,                0.76645,                0.85189,                0.62174,                0.99718,                0.98382,                 1.6785,             0.00081403,             0.00081403,             0.00081403
                     29,                0.81947,                 0.7938,                 1.2588,                0.81644,                0.82752,                0.85131,                0.66434,                0.82598,                   0.91,                 1.5265,             0.00080303,             0.00080303,             0.00080303
                     30,                0.79376,                0.72553,                 1.2463,                0.86387,                0.83909,                0.89875,                 0.7011,                0.81925,                0.73253,                 1.5125,             0.00079203,             0.00079203,             0.00079203
                     31,                0.78287,                0.68647,                 1.2376,                0.77633,                 0.8727,                0.91074,                0.70473,                0.88399,                0.85921,                 1.5846,             0.00078103,             0.00078103,             0.00078103
                     32,                0.75699,                0.69122,                 1.2151,                0.66267,                0.80194,                0.77379,                 0.6153,                0.79681,                 1.1609,                 1.4924,             0.00077003,             0.00077003,             0.00077003
                     33,                0.73379,                0.66494,                 1.1968,                 0.7427,                0.85961,                0.90605,                0.69837,                0.85372,                0.88778,                 1.5785,             0.00075904,             0.00075904,             0.00075904
                     34,                0.73707,                0.62534,                 1.2101,                0.73366,                0.81834,                0.87493,                0.69034,                0.84176,                  0.944,                   1.53,             0.00074804,             0.00074804,             0.00074804
                     35,                0.75386,                0.68485,                 1.2195,                0.75768,                0.91759,                0.90645,                0.70686,                0.86684,                0.65976,                 1.5817,             0.00073704,             0.00073704,             0.00073704
                     36,                0.74345,                0.69479,                 1.2111,                0.60719,                0.80168,                0.74269,                0.56396,                0.88191,                 1.2839,                 1.5968,             0.00072604,             0.00072604,             0.00072604
                     37,                0.74959,                0.63894,                 1.2292,                0.76402,                0.85557,                0.88208,                 0.6827,                0.86987,                0.81146,                 1.5635,             0.00071504,             0.00071504,             0.00071504
                     38,                0.74795,                0.61184,                 1.2052,                0.80511,                0.86596,                0.90314,                0.70916,                0.85164,                0.70811,                 1.5663,             0.00070404,             0.00070404,             0.00070404
                     39,                0.77709,                0.67231,                 1.2331,                0.68465,                0.91318,                0.90859,                0.72304,                 0.8142,                0.81789,                 1.5041,             0.00069304,             0.00069304,             0.00069304
                     40,                0.76456,                0.62061,                 1.2268,                0.78147,                 0.8235,                0.89576,                0.71265,                0.80018,                0.81264,                 1.4961,             0.00068204,             0.00068204,             0.00068204
                     41,                0.75308,                0.61715,                 1.2101,                0.74157,                0.90436,                0.89761,                0.71337,                0.82065,                 0.7128,                 1.5317,             0.00067104,             0.00067104,             0.00067104
                     42,                0.74274,                0.59695,                 1.1881,                0.80212,                0.80132,                0.85162,                0.67079,                0.82252,                0.83789,                 1.5075,             0.00066005,             0.00066005,             0.00066005
                     43,                0.72136,                0.60857,                 1.1909,                0.78976,                0.86821,                0.84119,                0.67078,                0.80371,                0.81855,                 1.5039,             0.00064905,             0.00064905,             0.00064905
                     44,                0.71957,                0.61114,                 1.1808,                0.63725,                0.85284,                0.86773,                 0.6822,                0.82065,                0.98007,                 1.5429,             0.00063805,             0.00063805,             0.00063805
                     45,                0.74044,                0.61553,                 1.1808,                0.74256,                0.83634,                0.85092,                0.67912,                0.80184,                0.94558,                 1.5062,             0.00062705,             0.00062705,             0.00062705
                     46,                0.70317,                0.58499,                 1.1753,                0.77682,                0.91637,                0.92899,                0.74565,                0.78895,                0.64172,                 1.4816,             0.00061605,             0.00061605,             0.00061605
                     47,                0.67368,                0.54017,                 1.1535,                0.86422,                0.83918,                0.92034,                0.73232,                0.79446,                0.71134,                 1.4879,             0.00060505,             0.00060505,             0.00060505
