                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76905,                 3.2505,                 1.3021,                0.07651,                0.30833,                0.08643,                0.06406,                0.91428,                 3.1979,                 1.5137,             0.00025352,             0.00025352,             0.00025352
                      2,                0.80029,                 2.4564,                 1.3228,                0.04778,                0.19162,                0.05542,                0.03544,                  1.239,                 3.3015,                 1.7855,             0.00049302,             0.00049302,             0.00049302
                      3,                0.85398,                 2.3907,                 1.3692,                0.09072,                0.32937,                0.08357,                0.05543,                 1.0929,                 2.8308,                   1.85,             0.00071562,             0.00071562,             0.00071562
                      4,                0.84175,                   2.33,                 1.3588,                 0.0733,                0.31857,                0.09135,                0.06154,                 1.0936,                 2.9178,                 1.7319,             0.00069287,             0.00069287,             0.00069287
                      5,                0.83758,                 2.2766,                 1.3638,                 0.1639,                 0.3094,                0.09539,                 0.0621,                 1.0991,                 2.5571,                 1.7293,             0.00066749,             0.00066749,             0.00066749
                      6,                0.81662,                 2.2043,                 1.3279,                0.07506,                0.30416,                0.11487,                0.08143,                 1.0447,                 2.4999,                 1.8256,             0.00064212,             0.00064212,             0.00064212
                      7,                0.78192,                 2.1995,                 1.3172,                0.08837,                 0.3518,                0.10186,                0.07319,                0.93101,                 2.4175,                 1.5312,             0.00061674,             0.00061674,             0.00061674
                      8,                0.78136,                  2.118,                 1.3045,                0.18172,                0.26857,                0.12528,                0.08636,                0.98934,                 2.3724,                 1.5749,             0.00059136,             0.00059136,             0.00059136
                      9,                0.74239,                 2.0988,                 1.2785,                 0.1137,                 0.3057,                0.13521,                0.09405,                0.91886,                 2.2431,                 1.5657,             0.00056598,             0.00056598,             0.00056598
                     10,                0.72718,                 2.0428,                 1.2628,                0.23207,                0.33484,                0.15758,                0.10402,                0.96739,                 2.1965,                 1.5536,             0.00054061,             0.00054061,             0.00054061
                     11,                0.69179,                  2.053,                 1.2452,                0.22411,                0.39742,                0.13092,                0.09519,                0.94956,                 2.2278,                 1.7138,             0.00051523,             0.00051523,             0.00051523
                     12,                0.67724,                 1.9739,                 1.2383,                0.26759,                0.27782,                 0.1661,                0.12441,                0.79491,                 2.1368,                  1.424,             0.00048985,             0.00048985,             0.00048985
                     13,                0.64144,                 1.9206,                  1.196,                0.10777,                0.36211,                  0.153,                0.11945,                 0.8492,                  2.038,                 1.4329,             0.00046448,             0.00046448,             0.00046448
                     14,                0.64192,                 1.9024,                 1.2058,                0.13283,                0.41295,                0.16494,                0.12429,                0.82222,                 2.0746,                 1.4089,              0.0004391,              0.0004391,              0.0004391
                     15,                0.62961,                 1.8676,                 1.1948,                0.12492,                0.40573,                0.16019,                0.12397,                0.83867,                 2.1639,                 1.4371,             0.00041372,             0.00041372,             0.00041372
                     16,                0.62284,                 1.8187,                 1.1958,                0.23835,                0.32462,                0.19081,                0.14351,                0.82695,                 2.1503,                 1.4207,             0.00038835,             0.00038835,             0.00038835
                     17,                0.61008,                 1.8105,                 1.1807,                0.17915,                0.32632,                0.21252,                0.16709,                0.78172,                 2.0315,                 1.3934,             0.00036297,             0.00036297,             0.00036297
                     18,                0.59066,                 1.7675,                 1.1504,                0.19395,                0.35669,                0.20982,                0.16402,                0.74813,                 1.9803,                  1.367,             0.00033759,             0.00033759,             0.00033759
                     19,                0.57108,                  1.728,                 1.1467,                0.15722,                0.40144,                 0.2077,                0.16453,                0.76211,                 2.0091,                  1.389,             0.00031221,             0.00031221,             0.00031221
                     20,                0.55171,                  1.693,                  1.137,                0.18287,                0.36464,                0.21184,                0.18035,                 0.7176,                 1.9821,                 1.3511,             0.00028684,             0.00028684,             0.00028684
                     21,                 0.5276,                 1.7067,                 1.1678,                 0.1343,                0.41635,                 0.2203,                0.17677,                0.74198,                 2.0382,                 1.3337,             0.00026146,             0.00026146,             0.00026146
                     22,                0.47528,                 1.5428,                 1.1153,                0.19131,                0.32982,                0.22544,                0.17926,                0.72296,                 2.0644,                 1.3535,             0.00023608,             0.00023608,             0.00023608
                     23,                0.45614,                 1.4635,                 1.1076,                0.18515,                0.39501,                0.24547,                0.20121,                0.70992,                 1.9354,                 1.3454,             0.00021071,             0.00021071,             0.00021071
                     24,                0.44764,                 1.3951,                 1.0906,                0.24705,                0.30714,                0.23525,                0.19085,                0.69766,                 2.0361,                 1.3689,             0.00018533,             0.00018533,             0.00018533
                     25,                0.43299,                 1.3832,                 1.0699,                0.19021,                0.38336,                0.24401,                0.20043,                0.66964,                 1.9947,                 1.3006,             0.00015995,             0.00015995,             0.00015995
                     26,                0.40926,                 1.3505,                 1.0624,                0.24212,                0.32906,                0.26618,                 0.2216,                0.67925,                 1.8651,                 1.2855,             0.00013457,             0.00013457,             0.00013457
                     27,                0.39082,                  1.252,                 1.0337,                0.22944,                0.35878,                0.25638,                0.20978,                 0.6787,                 1.9489,                 1.2924,              0.0001092,              0.0001092,              0.0001092
                     28,                0.38316,                 1.2061,                   1.04,                0.25567,                0.38108,                0.27747,                0.22917,                0.67988,                 1.9068,                  1.302,             8.3821e-05,             8.3821e-05,             8.3821e-05
