                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70099,                 3.9911,                 1.2734,                0.26519,                 0.1962,                0.04236,                0.03438,                0.62127,                 3.8033,                 1.2128,             9.7413e-05,             9.7413e-05,             9.7413e-05
                      2,                0.65407,                 3.2003,                  1.216,                0.16875,                0.13117,                0.06011,                0.04887,                0.71353,                 3.3971,                 1.3129,             0.00018896,             0.00018896,             0.00018896
                      3,                0.65451,                 3.0271,                  1.221,                0.10246,                0.19927,                0.04553,                0.03765,                0.69493,                 3.1921,                 1.3113,             0.00027405,             0.00027405,             0.00027405
                      4,                0.65858,                 2.9152,                 1.2129,                0.18156,                0.17785,                0.05995,                0.04833,                 0.7077,                 3.1065,                 1.2927,             0.00026489,             0.00026489,             0.00026489
                      5,                0.64799,                 2.8352,                 1.2066,                0.13988,                0.23758,                0.05573,                0.04511,                0.72813,                 3.1057,                 1.2983,             0.00025519,             0.00025519,             0.00025519
                      6,                0.62982,                 2.7615,                 1.1962,                0.07769,                0.15324,                0.06269,                0.05025,                0.67953,                 2.8923,                 1.2411,             0.00024549,             0.00024549,             0.00024549
                      7,                0.62275,                 2.6873,                 1.1864,                0.15073,                0.24468,                0.06645,                0.05273,                0.70654,                 2.8366,                 1.3364,             0.00023579,             0.00023579,             0.00023579
                      8,                0.58044,                 2.6199,                  1.155,                0.11606,                0.19071,                0.07238,                0.06033,                0.58607,                 2.7994,                 1.1811,             0.00022609,             0.00022609,             0.00022609
                      9,                0.56665,                 2.5602,                 1.1534,                0.13755,                0.24449,                0.07529,                0.06009,                0.63619,                  2.815,                 1.2404,             0.00021638,             0.00021638,             0.00021638
                     10,                0.55213,                 2.4947,                 1.1428,                0.06923,                0.20757,                 0.0793,                 0.0673,                0.61603,                 2.7162,                  1.245,             0.00020668,             0.00020668,             0.00020668
                     11,                0.55337,                 2.4562,                 1.1298,                 0.0705,                0.19248,                0.08438,                0.07233,                0.60474,                 2.7723,                 1.2121,             0.00019698,             0.00019698,             0.00019698
                     12,                0.53807,                 2.4065,                  1.123,                0.06205,                 0.2267,                0.08002,                0.06561,                0.65725,                 2.8014,                 1.2632,             0.00018728,             0.00018728,             0.00018728
                     13,                0.52262,                 2.3609,                 1.1096,                0.06732,                0.21242,                0.08488,                0.07232,                0.57801,                 2.6973,                 1.1673,             0.00017758,             0.00017758,             0.00017758
                     14,                0.50263,                 2.2803,                 1.0964,                0.07075,                0.21356,                0.08872,                0.07574,                0.56366,                 2.7201,                   1.17,             0.00016787,             0.00016787,             0.00016787
