                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40214,                 4.0543,                 1.1052,                0.32543,                0.21316,                0.05112,                 0.0498,                0.38865,                 8.1917,                0.82988,             0.00011675,             0.00011675,             0.00011675
                      2,                0.16655,                 2.8089,                 0.9658,                0.18663,                0.62053,                0.13327,                0.12224,                0.35993,                 3.8153,                0.81138,             0.00022797,             0.00022797,             0.00022797
                      3,                0.14835,                 2.5216,                 0.9348,                0.21803,                0.60688,                0.09037,                0.09002,                0.21722,                 2.8287,                0.63524,             0.00033134,             0.00033134,             0.00033134
                      4,                0.13828,                 2.4183,                0.91818,                0.26137,                0.39614,                 0.1099,                 0.1099,                0.21284,                 2.7627,                0.61895,             0.00032166,             0.00032166,             0.00032166
                      5,                0.13114,                 2.3342,                0.91258,                0.43722,                0.37504,                0.14283,                0.14219,                0.23376,                  2.457,                0.66851,             0.00030988,             0.00030988,             0.00030988
                      6,                 0.1211,                 2.2566,                0.90523,                0.17753,                0.50568,                0.11928,                0.11748,                0.25725,                 2.5096,                0.68429,              0.0002981,              0.0002981,              0.0002981
                      7,                0.12149,                 2.2053,                 0.9183,                0.27847,                0.21913,                0.13008,                0.12023,                0.24683,                 2.5055,                0.65166,             0.00028631,             0.00028631,             0.00028631
                      8,                0.10829,                 2.1501,                0.90203,                0.41254,                0.37114,                0.14231,                0.14205,                0.19516,                 2.3762,                0.60577,             0.00027453,             0.00027453,             0.00027453
                      9,                0.10423,                 2.1152,                0.89537,                0.73175,                 0.1162,                0.16569,                0.16569,                0.18633,                 2.2669,                0.57946,             0.00026275,             0.00026275,             0.00026275
                     10,                0.09877,                 2.1038,                0.89591,                0.25868,                0.23987,                0.16002,                0.16002,                0.17573,                 2.2013,                0.57073,             0.00025097,             0.00025097,             0.00025097
                     11,                 0.0966,                 2.0421,                  0.894,                0.27369,                0.29032,                0.15201,                0.15113,                0.19952,                 2.2764,                0.60612,             0.00023919,             0.00023919,             0.00023919
                     12,                0.09258,                 2.0378,                0.89463,                0.32124,                0.27325,                0.14656,                0.14629,                0.18937,                 2.3635,                0.60317,             0.00022741,             0.00022741,             0.00022741
                     13,                0.08947,                 2.0049,                0.90926,                0.34431,                0.20223,                 0.1829,                 0.1829,                0.16309,                 2.2189,                0.55927,             0.00021563,             0.00021563,             0.00021563
