                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47918,                 4.1378,                 1.1508,                0.18742,                0.28084,                0.07169,                0.06823,                0.40428,                 5.8836,                0.77965,              0.0001204,              0.0001204,              0.0001204
                      2,                0.18351,                 2.8525,                0.97245,                0.24199,                0.37801,                0.07835,                0.07807,                0.29345,                 8.8239,                0.71521,             0.00023569,             0.00023569,             0.00023569
                      3,                0.15713,                 2.5621,                0.92676,                0.14749,                0.58755,                0.10964,                0.10879,                0.22227,                 3.2445,                0.59598,             0.00034284,             0.00034284,             0.00034284
                      4,                0.15625,                 2.4488,                0.94005,                0.29652,                 0.3553,                0.15162,                0.14825,                0.28433,                 3.0715,                0.68203,             0.00033337,             0.00033337,             0.00033337
                      5,                0.15894,                 2.4051,                0.92913,                 0.2075,                0.42735,                0.18443,                0.18334,                0.22466,                  2.735,                0.58676,             0.00032116,             0.00032116,             0.00032116
                      6,                0.14861,                 2.2951,                0.92161,                0.33119,                0.36523,                 0.1982,                0.19351,                 0.2269,                 2.8256,                0.58774,             0.00030895,             0.00030895,             0.00030895
                      7,                0.13514,                 2.2269,                0.91677,                0.34593,                0.21623,                0.24037,                0.23903,                0.24171,                 2.7858,                0.60599,             0.00029674,             0.00029674,             0.00029674
                      8,                0.12951,                 2.1531,                0.91185,                0.14155,                0.40602,                0.17781,                0.17767,                0.20296,                 2.6117,                0.56191,             0.00028453,             0.00028453,             0.00028453
                      9,                0.12235,                 2.1545,                0.91219,                0.23393,                 0.3138,                0.19755,                0.19664,                0.19506,                 2.5739,                0.57406,             0.00027232,             0.00027232,             0.00027232
                     10,                0.11418,                 2.0762,                 0.9119,                0.22601,                0.28742,                0.24053,                0.24015,                 0.2281,                 2.5127,                0.58712,             0.00026011,             0.00026011,             0.00026011
                     11,                0.11229,                 2.0354,                0.89187,                0.22651,                0.26391,                0.20752,                0.20645,                0.19277,                 2.6479,                0.54238,              0.0002479,              0.0002479,              0.0002479
                     12,                0.10282,                 1.9829,                0.90715,                0.34567,                0.29325,                 0.2706,                0.26435,                0.18894,                 2.4613,                0.55833,             0.00023569,             0.00023569,             0.00023569
                     13,                0.09937,                 1.9469,                0.90206,                0.62198,                0.16318,                0.24366,                0.24011,                0.17683,                 2.6528,                0.53547,             0.00022348,             0.00022348,             0.00022348
                     14,                0.09542,                 1.9271,                 0.8967,                0.36952,                0.18374,                0.22562,                0.22562,                0.16118,                 2.4077,                0.51392,             0.00021127,             0.00021127,             0.00021127
                     15,                0.09419,                 1.8938,                0.89301,                 0.2128,                0.22538,                0.24362,                0.24205,                0.20366,                 2.4614,                0.56955,             0.00019906,             0.00019906,             0.00019906
                     16,                 0.0918,                 1.8175,                0.91162,                0.30084,                0.30898,                0.24834,                0.24768,                0.19102,                  2.588,                0.54285,             0.00018685,             0.00018685,             0.00018685
                     17,                0.08565,                 1.8751,                0.89627,                 0.3068,                0.26755,                0.22692,                0.22447,                0.18769,                 2.4573,                0.53377,             0.00017464,             0.00017464,             0.00017464
                     18,                0.08405,                  1.776,                0.88631,                0.34796,                0.27658,                0.27979,                0.27979,                0.15311,                 2.2409,                0.51486,             0.00016243,             0.00016243,             0.00016243
                     19,                0.07791,                   1.72,                0.88674,                0.35592,                0.26719,                0.26318,                0.26318,                 0.1506,                 2.4385,                0.49413,             0.00015022,             0.00015022,             0.00015022
                     20,                0.07871,                 1.6467,                0.88909,                0.37402,                0.28675,                0.27062,                0.27062,                 0.1592,                 2.4837,                0.50501,             0.00013801,             0.00013801,             0.00013801
                     21,                0.10274,                 1.8245,                0.91318,                0.22123,                0.29092,                0.28814,                0.28751,                 0.1717,                 2.5259,                0.51243,              0.0001258,              0.0001258,              0.0001258
                     22,                0.07686,                  1.628,                0.89385,                0.33282,                0.24333,                0.28161,                0.27934,                0.17725,                  2.395,                0.52137,             0.00011359,             0.00011359,             0.00011359
                     23,                0.07719,                 1.5357,                0.88222,                0.32292,                0.29319,                0.29546,                0.29286,                0.17614,                 2.3614,                0.52115,             0.00010138,             0.00010138,             0.00010138
                     24,                0.07462,                 1.4713,                0.89497,                0.43932,                0.26827,                 0.2856,                 0.2856,                0.15117,                 2.4193,                0.48491,              8.917e-05,              8.917e-05,              8.917e-05
                     25,                0.06977,                  1.405,                0.88394,                0.53492,                0.21867,                0.28355,                0.28355,                0.14535,                 2.4195,                0.47962,              7.696e-05,              7.696e-05,              7.696e-05
                     26,                0.06781,                  1.379,                0.90104,                0.38074,                0.27982,                0.27334,                0.27334,                 0.1423,                 2.5017,                0.47208,              6.475e-05,              6.475e-05,              6.475e-05
                     27,                0.06395,                 1.3115,                0.88376,                0.45451,                 0.2376,                0.29431,                0.29431,                0.15316,                 2.5104,                0.49217,              5.254e-05,              5.254e-05,              5.254e-05
                     28,                0.06208,                 1.2557,                0.88755,                0.35463,                0.28979,                 0.3055,                 0.3055,                0.14075,                  2.551,                0.47723,              4.033e-05,              4.033e-05,              4.033e-05
                     29,                0.06071,                 1.2217,                0.87077,                0.39378,                0.30326,                0.30726,                0.30726,                0.14146,                 2.5209,                 0.4761,              2.812e-05,              2.812e-05,              2.812e-05
                     30,                 0.0583,                 1.1869,                0.87921,                0.37519,                0.29005,                0.31679,                0.31679,                0.14052,                 2.5259,                 0.4757,              1.591e-05,              1.591e-05,              1.591e-05
