                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73801,                 3.5377,                 1.2839,                0.04364,                0.32546,                0.05359,                0.03805,                0.83614,                  4.538,                 1.4117,             0.00020566,             0.00020566,             0.00020566
                      2,                 0.7323,                 2.6807,                 1.2496,                0.06358,                0.38331,                0.07466,                0.05281,                0.97641,                 3.4454,                 1.7403,             0.00040033,             0.00040033,             0.00040033
                      3,                0.79898,                 2.6115,                 1.3159,                 0.0471,                0.24022,                0.07138,                0.05024,                 1.1025,                 3.1502,                 1.7854,             0.00058126,             0.00058126,             0.00058126
                      4,                 0.8217,                 2.5302,                 1.3258,                0.08451,                0.27578,                0.09968,                0.06863,                 1.0494,                 2.9442,                 1.6876,             0.00056313,             0.00056313,             0.00056313
                      5,                0.78484,                 2.4455,                  1.309,                0.06061,                0.20565,                 0.0763,                0.05104,                 1.0923,                 2.8287,                  1.699,              0.0005425,              0.0005425,              0.0005425
                      6,                0.78507,                 2.4144,                 1.3093,                0.17985,                0.29038,                0.11572,                0.08364,                0.88519,                 2.6705,                 1.5464,             0.00052188,             0.00052188,             0.00052188
                      7,                 0.7619,                 2.3508,                 1.2951,                0.10696,                0.35894,                0.11408,                0.07914,                 1.0357,                  2.632,                 1.6875,             0.00050125,             0.00050125,             0.00050125
                      8,                0.73664,                 2.3287,                 1.2608,                0.10687,                0.40341,                0.10997,                0.08414,                0.82408,                 2.5029,                 1.4645,             0.00048062,             0.00048062,             0.00048062
                      9,                0.72543,                 2.2319,                 1.2481,                0.09457,                0.40633,                0.10945,                0.07899,                0.93076,                 2.5306,                 1.5975,                0.00046,                0.00046,                0.00046
                     10,                0.68611,                 2.2367,                 1.2546,                0.08616,                0.31177,                0.10557,                0.07669,                0.94002,                  2.583,                 1.6125,             0.00043937,             0.00043937,             0.00043937
                     11,                0.67869,                 2.1581,                 1.2136,                0.11734,                0.36401,                0.12465,                 0.0949,                0.88808,                 2.4731,                 1.5173,             0.00041875,             0.00041875,             0.00041875
                     12,                 0.6626,                 2.1146,                 1.2152,                0.12346,                0.34577,                0.12634,                0.09502,                0.87045,                 2.5424,                 1.4619,             0.00039813,             0.00039813,             0.00039813
                     13,                0.63808,                 2.0848,                 1.1938,                0.12083,                0.32931,                0.13942,                0.11016,                0.80308,                 2.4375,                 1.4404,              0.0003775,              0.0003775,              0.0003775
                     14,                0.64594,                 2.0395,                 1.2047,                0.12773,                0.29173,                0.15159,                0.11133,                0.83929,                 2.3563,                 1.4263,             0.00035687,             0.00035687,             0.00035687
                     15,                0.61262,                 2.0094,                  1.163,                0.12262,                 0.2761,                0.12888,                0.09751,                 0.8502,                 2.6045,                 1.4324,             0.00033625,             0.00033625,             0.00033625
                     16,                0.58746,                 1.9389,                 1.1479,                0.11563,                0.34337,                0.12623,                0.09917,                0.84023,                 2.5591,                 1.4828,             0.00031562,             0.00031562,             0.00031562
                     17,                0.58983,                 1.9361,                 1.1489,                0.11612,                0.34399,                0.13636,                0.10388,                0.81204,                  2.393,                 1.4295,               0.000295,               0.000295,               0.000295
                     18,                0.58045,                 1.8937,                 1.1534,                0.13388,                0.33429,                0.15074,                0.11674,                0.84313,                 2.4564,                 1.4777,             0.00027437,             0.00027437,             0.00027437
                     19,                 0.5522,                 1.8339,                 1.1257,                 0.1087,                 0.3266,                0.13185,                0.10579,                0.82204,                 2.4316,                 1.4165,             0.00025375,             0.00025375,             0.00025375
                     20,                0.54242,                 1.8017,                 1.1261,                0.17761,                0.22126,                0.15919,                 0.1278,                0.78827,                 2.4011,                 1.4155,             0.00023313,             0.00023313,             0.00023313
                     21,                0.53193,                 1.8464,                  1.149,                 0.1455,                0.26934,                0.17281,                0.13243,                0.80161,                 2.3906,                 1.4271,              0.0002125,              0.0002125,              0.0002125
                     22,                0.48886,                  1.663,                 1.1146,                0.23194,                0.19279,                0.18444,                0.14596,                0.77429,                 2.3832,                 1.3999,             0.00019188,             0.00019188,             0.00019188
                     23,                0.44892,                 1.5896,                 1.0791,                0.16441,                0.37776,                0.17869,                0.13762,                0.79315,                 2.4641,                 1.4296,             0.00017125,             0.00017125,             0.00017125
                     24,                0.43393,                 1.5307,                  1.062,                0.17427,                0.29574,                0.17286,                0.13677,                0.76143,                 2.4902,                 1.4098,             0.00015062,             0.00015062,             0.00015062
                     25,                0.41518,                 1.4501,                 1.0598,                0.23521,                0.21461,                0.20187,                 0.1687,                0.73548,                 2.4709,                 1.3655,                0.00013,                0.00013,                0.00013
                     26,                0.39963,                 1.3833,                 1.0383,                0.22273,                0.21938,                0.19409,                0.15707,                0.72876,                 2.4797,                 1.3653,             0.00010937,             0.00010937,             0.00010937
                     27,                0.38836,                 1.3119,                 1.0299,                0.19611,                0.28717,                 0.1926,                0.15666,                0.73354,                 2.5452,                 1.3925,              8.875e-05,              8.875e-05,              8.875e-05
                     28,                0.41118,                 1.3063,                  1.051,                0.19979,                0.28604,                0.19146,                0.16213,                0.74282,                 2.5474,                 1.3743,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     29,                0.39189,                 1.2444,                 1.0347,                0.21406,                0.27561,                0.21237,                0.17865,                0.72711,                 2.5067,                  1.357,               4.75e-05,               4.75e-05,               4.75e-05
                     30,                0.35923,                 1.1778,                 1.0196,                0.23463,                0.25617,                0.20383,                0.17201,                0.71784,                 2.5309,                 1.3469,             2.6875e-05,             2.6875e-05,             2.6875e-05
