                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33169,                 2.9003,                 1.0493,                0.12245,                0.72029,                0.15763,                 0.1557,                0.23925,                  4.316,                0.65415,             0.00029503,             0.00029503,             0.00029503
                      2,                 0.2117,                 1.8566,                0.96331,                0.16134,                0.94286,                0.26424,                0.25642,                0.33845,                 3.5773,                0.73547,             0.00057829,             0.00057829,             0.00057829
                      3,                0.19195,                 1.7687,                0.94132,                 0.1821,                0.53032,                0.18704,                0.15025,                0.90349,                 2.9329,                 1.3037,             0.00084156,             0.00084156,             0.00084156
                      4,                0.22727,                 1.7067,                0.94446,                0.17909,                0.73214,                0.26526,                0.26102,                0.35059,                 1.9954,                0.75336,             0.00081901,             0.00081901,             0.00081901
                      5,                0.19714,                 1.6716,                0.92115,                0.16722,                0.79695,                0.28526,                0.28526,                0.20815,                 1.7133,                0.59334,             0.00078901,             0.00078901,             0.00078901
                      6,                0.17268,                 1.6465,                0.92962,                0.16276,                0.89248,                0.26757,                0.26301,                0.27072,                 1.7879,                0.71569,             0.00075902,             0.00075902,             0.00075902
                      7,                0.15165,                 1.6139,                0.92061,                0.31145,                0.60637,                0.24833,                0.24555,                 0.2314,                 1.6626,                0.61947,             0.00072902,             0.00072902,             0.00072902
                      8,                0.15916,                 1.5833,                0.91659,                0.14728,                0.97321,                0.22058,                0.20629,                 0.2322,                 1.7129,                0.60359,             0.00069902,             0.00069902,             0.00069902
                      9,                0.14654,                 1.5702,                 0.9134,                0.20276,                0.64589,                 0.2738,                 0.2738,                 0.1958,                 1.6035,                0.57553,             0.00066902,             0.00066902,             0.00066902
                     10,                0.14094,                 1.5642,                0.90737,                0.17184,                0.60426,                0.29507,                0.27364,                0.22798,                 1.7193,                0.61242,             0.00063903,             0.00063903,             0.00063903
                     11,                0.13217,                 1.5646,                0.90445,                0.14747,                0.89206,                0.28777,                0.28777,                0.14928,                 1.6579,                0.50665,             0.00060903,             0.00060903,             0.00060903
                     12,                0.14026,                 1.5562,                0.91042,                0.15865,                0.83683,                0.28881,                0.28142,                 0.2465,                 1.6686,                0.64756,             0.00057903,             0.00057903,             0.00057903
                     13,                 0.1295,                  1.553,                0.90688,                0.22906,                0.65317,                0.32411,                0.32031,                0.18187,                 1.5226,                0.58111,             0.00054904,             0.00054904,             0.00054904
                     14,                 0.1084,                  1.505,                0.89305,                0.22877,                0.59126,                0.33532,                0.33013,                0.17143,                 1.5067,                0.56849,             0.00051904,             0.00051904,             0.00051904
                     15,                0.13761,                 1.5255,                0.93505,                0.23465,                0.49473,                0.29316,                0.28697,                0.15849,                 1.5196,                0.54427,             0.00048904,             0.00048904,             0.00048904
                     16,                0.10308,                 1.4798,                0.87485,                0.18318,                0.65027,                0.31314,                0.31314,                0.16235,                  1.497,                0.54558,             0.00045904,             0.00045904,             0.00045904
                     17,                0.10024,                 1.5094,                0.88275,                0.51197,                0.54488,                0.36798,                0.36555,                0.14574,                 1.4293,                0.53424,             0.00042905,             0.00042905,             0.00042905
                     18,                0.11988,                 1.4983,                0.92285,                0.38651,                0.40877,                0.31604,                0.31596,                0.15029,                 1.4907,                0.51883,             0.00039905,             0.00039905,             0.00039905
                     19,                0.09403,                 1.4671,                0.89981,                0.38329,                0.49741,                0.33717,                 0.3352,                0.16528,                 1.4918,                0.54178,             0.00036905,             0.00036905,             0.00036905
                     20,                 0.0923,                 1.4757,                0.89194,                0.39316,                0.49181,                0.32571,                0.32571,                0.13678,                 1.4552,                0.52303,             0.00033906,             0.00033906,             0.00033906
                     21,                0.11858,                 1.5904,                0.92357,                0.16738,                0.66469,                 0.3351,                 0.3351,                0.14038,                 1.4727,                0.50916,             0.00030906,             0.00030906,             0.00030906
                     22,                0.08231,                 1.4585,                0.87018,                0.45059,                0.40308,                0.39556,                0.39323,                 0.1454,                 1.4032,                0.51299,             0.00027906,             0.00027906,             0.00027906
                     23,                0.07819,                 1.4359,                0.90522,                0.26615,                0.51548,                 0.3266,                0.32238,                0.15317,                 1.4503,                 0.5233,             0.00024907,             0.00024907,             0.00024907
                     24,                0.07127,                 1.4384,                0.88688,                0.42419,                0.57356,                0.34757,                0.34732,                0.12103,                 1.4459,                0.49668,             0.00021907,             0.00021907,             0.00021907
                     25,                0.06738,                 1.4196,                0.87857,                0.22989,                0.56756,                0.32963,                0.32963,                0.11126,                 1.4811,                0.47957,             0.00018907,             0.00018907,             0.00018907
                     26,                0.06368,                 1.3755,                0.88238,                0.18996,                0.69147,                0.34815,                0.34688,                0.12894,                 1.4191,                0.49641,             0.00015907,             0.00015907,             0.00015907
                     27,                0.05852,                 1.3436,                0.87731,                0.23135,                0.54316,                0.39138,                0.39138,                0.10691,                  1.387,                0.48336,             0.00012908,             0.00012908,             0.00012908
                     28,                0.05301,                 1.3307,                0.86498,                0.40571,                0.51764,                0.35469,                0.35469,                0.09925,                 1.3942,                0.46864,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.05502,                 1.3217,                0.86843,                0.42925,                0.49861,                0.34793,                0.34793,                0.09882,                  1.412,                0.46887,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.06632,                 1.3029,                0.89503,                0.41441,                0.49676,                  0.358,                  0.358,                0.09889,                 1.4062,                0.47206,             3.9087e-05,             3.9087e-05,             3.9087e-05
