                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33721,                 3.3972,                 1.0652,                0.12535,                0.78134,                0.09893,                 0.0968,                0.31512,                 4.5924,                0.76533,             0.00016447,             0.00016447,             0.00016447
                      2,                0.16529,                 2.4633,                0.94524,                0.11977,                0.86042,                0.11221,                0.11154,                0.26793,                 2.9724,                0.71181,             0.00032021,             0.00032021,             0.00032021
                      3,                0.15567,                 2.3071,                0.92765,                0.07152,                0.63217,                0.11002,                0.10617,                0.31669,                 2.4593,                0.75655,             0.00046495,             0.00046495,             0.00046495
                      4,                0.14549,                 2.2279,                0.92422,                0.05995,                0.73457,                0.10915,                0.10793,                0.24323,                 2.4957,                0.66576,              0.0004505,              0.0004505,              0.0004505
                      5,                0.12998,                 2.1788,                0.91129,                0.05849,                0.80815,                0.11673,                0.11652,                 0.2044,                 2.3371,                0.63283,               0.000434,               0.000434,               0.000434
                      6,                 0.1212,                 2.1534,                0.90772,                0.06137,                0.95833,                0.10924,                0.10924,                0.17807,                 2.2195,                0.59539,              0.0004175,              0.0004175,              0.0004175
                      7,                0.12149,                 2.1249,                0.90433,                0.06277,                      1,                0.12196,                0.12196,                0.16031,                  2.216,                 0.5773,               0.000401,               0.000401,               0.000401
                      8,                 0.1143,                 2.1034,                0.90271,                0.06454,                0.96389,                0.12967,                0.12881,                0.15474,                 2.1136,                  0.575,              0.0003845,              0.0003845,              0.0003845
                      9,                 0.1101,                 2.0844,                0.89825,                0.09088,                0.72274,                 0.1411,                0.14051,                0.21286,                 2.1025,                0.60374,               0.000368,               0.000368,               0.000368
                     10,                 0.0981,                 2.0756,                0.89403,                0.06389,                0.95833,                0.13087,                0.13087,                0.17309,                 2.0784,                0.58647,              0.0003515,              0.0003515,              0.0003515
                     11,                0.09761,                  2.055,                0.89023,                0.07411,                0.60533,                0.14951,                0.14867,                0.17538,                 2.0633,                0.59008,               0.000335,               0.000335,               0.000335
                     12,                0.09255,                 2.0464,                 0.9031,                0.06938,                0.69679,                0.15029,                0.15029,                 0.1593,                 2.0633,                0.56123,              0.0003185,              0.0003185,              0.0003185
                     13,                0.08841,                  2.026,                 0.8934,                0.06357,                0.99375,                0.12237,                0.12237,                0.14491,                 2.0682,                 0.5532,               0.000302,               0.000302,               0.000302
                     14,                0.08242,                 2.0162,                0.89317,                0.07505,                0.81669,                0.15134,                0.15134,                0.15146,                 1.9999,                0.56348,              0.0002855,              0.0002855,              0.0002855
                     15,                 0.0819,                 1.9921,                0.88714,                 0.0705,                0.69387,                0.13171,                0.13055,                0.17446,                 1.9822,                0.58412,               0.000269,               0.000269,               0.000269
                     16,                0.07539,                 1.9907,                0.89203,                0.06895,                0.60113,                0.14978,                0.14964,                 0.1589,                  2.041,                0.56747,              0.0002525,              0.0002525,              0.0002525
                     17,                0.07303,                 1.9699,                0.88337,                0.06995,                0.47372,                0.15326,                0.14761,                  0.154,                 2.0313,                0.55794,               0.000236,               0.000236,               0.000236
                     18,                 0.0683,                  1.969,                0.88534,                0.07222,                0.38873,                0.15641,                0.15318,                0.17224,                 1.9962,                0.58588,              0.0002195,              0.0002195,              0.0002195
                     19,                0.06702,                 1.9627,                   0.89,                0.07177,                 0.6239,                0.12842,                0.12635,                 0.1555,                 2.0711,                0.56344,               0.000203,               0.000203,               0.000203
                     20,                0.06591,                 1.9452,                0.89242,                0.10181,                0.40366,                 0.1474,                 0.1474,                0.12352,                 2.0123,                0.52631,              0.0001865,              0.0001865,              0.0001865
                     21,                0.07344,                 1.9899,                0.90384,                0.08747,                0.38868,                0.15664,                0.15664,                0.18576,                 2.0001,                0.59594,                0.00017,                0.00017,                0.00017
                     22,                0.06599,                  1.893,                 0.8794,                0.16329,                0.31718,                0.15459,                0.15459,                0.13691,                 2.0634,                0.53053,              0.0001535,              0.0001535,              0.0001535
                     23,                  0.063,                 1.8618,                0.88713,                0.16884,                0.29188,                0.18443,                0.18443,                0.13236,                 1.9989,                0.52905,               0.000137,               0.000137,               0.000137
                     24,                0.05603,                 1.8261,                0.87796,                0.11883,                0.28113,                0.18749,                0.18738,                0.14257,                 2.0074,                0.54678,              0.0001205,              0.0001205,              0.0001205
                     25,                0.05249,                 1.8232,                0.89061,                0.10695,                0.36789,                0.17769,                0.17769,                0.13157,                 1.9936,                0.53241,               0.000104,               0.000104,               0.000104
                     26,                0.04659,                 1.7742,                0.88874,                0.10521,                0.44982,                0.18194,                0.18188,                0.14146,                 1.9927,                0.55038,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                0.04561,                 1.7462,                0.88327,                0.11428,                0.34594,                0.19624,                0.19624,                0.12726,                 1.9745,                0.53308,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                0.04381,                 1.7199,                0.88048,                0.13952,                0.28592,                0.21259,                0.21259,                0.12701,                 2.0558,                0.53427,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                0.04287,                 1.6754,                0.88402,                0.11527,                 0.3239,                0.20347,                0.20347,                0.13203,                 2.0484,                0.54097,                3.8e-05,                3.8e-05,                3.8e-05
                     30,                0.03959,                 1.6752,                 0.8811,                0.11903,                0.37973,                0.19999,                0.19999,                0.12874,                 2.0585,                0.53828,               2.15e-05,               2.15e-05,               2.15e-05
