                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6323,                 2.4696,                 1.2302,                0.30293,                0.25556,                0.18548,                0.18547,                 0.3354,                 6.6987,                0.78851,             0.00015003,             0.00015003,             0.00015003
                      2,                0.20796,                 1.4465,                 1.0121,                0.51904,                0.88889,                0.63345,                0.57853,                0.47705,                 2.2259,                0.75298,             0.00030628,             0.00030628,             0.00030628
                      3,                0.19271,                  1.169,                0.96263,                0.61463,                0.48333,                0.66321,                0.66321,                0.43469,                  2.326,                0.79217,             0.00045152,             0.00045152,             0.00045152
                      4,                0.20795,                 1.0482,                0.94787,                0.33806,                0.83889,                0.42225,                0.36761,                0.47939,                 19.768,                0.85744,             0.00058577,             0.00058577,             0.00058577
                      5,                0.23813,                0.94309,                0.95799,                 0.4749,                0.51543,                0.51088,                0.39217,                0.54141,                 4.2062,                0.91053,             0.00070901,             0.00070901,             0.00070901
                      6,                0.22519,                0.94397,                0.93363,                0.38705,                 0.5984,                0.56163,                0.33544,                0.59749,                 4.4375,                0.96888,             0.00082125,             0.00082125,             0.00082125
                      7,                0.22213,                0.95465,                0.93301,                0.47003,                0.73333,                0.60117,                0.50837,                0.47244,                 2.4968,                0.84461,             0.00092248,             0.00092248,             0.00092248
                      8,                0.23014,                 0.9261,                0.94487,                0.59951,                0.66069,                0.65465,                0.60224,                0.65057,                 1.4577,                 1.0378,              0.0010127,              0.0010127,              0.0010127
                      9,                0.24412,                0.89679,                0.95691,                0.41345,                0.66121,                0.53792,                0.45592,                0.52315,                 2.2252,                0.85731,               0.001092,               0.001092,               0.001092
                     10,                0.24551,                0.94383,                0.98956,                0.61071,                0.47346,                0.54699,                0.41405,                 1.1196,                  2.606,                 2.2576,              0.0011602,              0.0011602,              0.0011602
                     11,                0.20853,                0.79865,                0.92416,                0.35951,                0.66157,                0.30723,                0.21209,                 1.5927,                 7.9033,                 2.8508,              0.0011169,              0.0011169,              0.0011169
                     12,                0.23626,                0.84416,                0.91976,                 0.3903,                0.52778,                0.53268,                0.48231,                0.47261,                 1.9136,                 0.7829,              0.0010619,              0.0010619,              0.0010619
                     13,                0.25272,                0.89821,                0.97933,                 0.4785,                0.81007,                0.66498,                0.63281,                0.31306,                 1.5418,                0.63625,              0.0010069,              0.0010069,              0.0010069
                     14,                0.20663,                   0.82,                 0.9404,                0.45439,                0.87233,                0.74593,                 0.7002,                0.33543,                 2.0047,                0.67461,             0.00095186,             0.00095186,             0.00095186
                     15,                0.18213,                 0.7674,                0.92072,                0.60158,                0.72222,                0.72041,                0.69218,                0.30256,                 1.4493,                 0.6458,             0.00089685,             0.00089685,             0.00089685
                     16,                 0.1793,                0.74919,                0.93171,                 0.3352,                0.61667,                0.42347,                0.39341,                  0.369,                 2.1459,                 0.7558,             0.00084184,             0.00084184,             0.00084184
                     17,                0.18939,                0.77652,                0.90693,                0.64551,                0.41723,                0.38925,                0.35068,                0.54655,                 2.6786,                0.92028,             0.00078682,             0.00078682,             0.00078682
                     18,                0.19234,                0.74444,                 0.9288,                0.47198,                0.61667,                0.48913,                0.46342,                0.32098,                 2.0011,                0.70031,             0.00073181,             0.00073181,             0.00073181
                     19,                0.17889,                0.71465,                0.92052,                0.46153,                   0.51,                 0.5825,                0.57966,                0.19507,                 1.8727,                0.57333,              0.0006768,              0.0006768,              0.0006768
                     20,                0.15773,                 0.6925,                0.91745,                0.65943,                0.46667,                0.60022,                0.59767,                 0.2159,                 1.8299,                0.57937,             0.00062179,             0.00062179,             0.00062179
                     21,                0.27224,                 1.2974,                 1.0475,                0.48822,                0.83333,                 0.6467,                 0.6467,                0.19173,                 1.7293,                0.52327,             0.00056678,             0.00056678,             0.00056678
                     22,                0.15264,                0.81675,                0.90523,                0.35569,                0.83814,                0.49631,                0.49094,                0.25233,                  1.482,                0.55899,             0.00051177,             0.00051177,             0.00051177
                     23,                  0.152,                 0.7408,                0.91845,                0.53641,                0.80006,                0.66318,                0.65727,                0.24457,                 1.0821,                0.55067,             0.00045676,             0.00045676,             0.00045676
                     24,                0.13151,                0.66712,                0.94562,                0.52086,                      1,                0.71331,                0.70986,                0.18753,                 1.0607,                0.51059,             0.00040175,             0.00040175,             0.00040175
                     25,                0.13898,                0.62224,                0.91828,                0.55139,                      1,                0.76772,                  0.765,                0.22657,                 1.1926,                 0.5413,             0.00034674,             0.00034674,             0.00034674
                     26,                0.17241,                0.69658,                0.96535,                0.68588,                0.72429,                0.76135,                0.75862,                0.23759,                 1.1511,                0.55704,             0.00029172,             0.00029172,             0.00029172
                     27,                  0.145,                0.68511,                0.97005,                0.60634,                0.78889,                0.76456,                0.75873,                0.20598,                 1.0287,                0.53304,             0.00023671,             0.00023671,             0.00023671
                     28,                0.10993,                0.57877,                0.91971,                 0.5584,                0.91535,                0.75431,                0.75124,                0.17884,                 1.0007,                0.50871,              0.0001817,              0.0001817,              0.0001817
                     29,                0.11112,                0.57644,                0.90641,                0.56125,                0.88889,                0.70582,                0.70293,                0.16556,                 1.0453,                0.50525,             0.00012669,             0.00012669,             0.00012669
                     30,                0.10019,                0.60386,                0.91243,                0.58326,                0.91872,                0.72927,                0.72619,                0.15173,                 1.0703,                0.50188,             7.1681e-05,             7.1681e-05,             7.1681e-05
