                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44794,                 2.5137,                 1.1167,                0.28498,                 0.6283,                0.37286,                 0.3483,                0.41562,                 4.5233,                0.85459,               0.000225,               0.000225,               0.000225
                      2,                0.19257,                 1.6913,                0.94601,                0.16021,                0.64148,                0.22718,                0.17901,                0.55135,                 4.2364,                0.98964,             0.00044724,             0.00044724,             0.00044724
                      3,                 0.2048,                 1.5432,                0.94704,                0.11019,                0.33903,                0.18526,                0.18187,                0.53313,                 3.4826,                0.85689,              0.0006538,              0.0006538,              0.0006538
                      4,                0.23085,                 1.4893,                  0.955,                 0.0879,                 0.5033,                0.14624,                0.08803,                 2.8499,                 6.8313,                 2.5302,             0.00084469,             0.00084469,             0.00084469
                      5,                0.23718,                 1.4347,                0.95938,                0.18106,                0.57033,                0.28977,                0.22677,                0.63733,                 2.7278,                 1.2498,              0.0010199,              0.0010199,              0.0010199
                      6,                0.23971,                 1.3794,                0.97107,                0.25885,                0.88077,                0.40719,                0.37887,                0.33708,                 1.9952,                0.70939,              0.0010438,              0.0010438,              0.0010438
                      7,                0.21332,                 1.3711,                0.94412,                0.21934,                0.53243,                0.31798,                0.23145,                0.86572,                 2.8883,                 1.2766,              0.0010025,              0.0010025,              0.0010025
                      8,                0.21718,                 1.3147,                0.95633,                0.24145,                0.67005,                0.39153,                0.35702,                0.32328,                 1.6982,                0.75919,             0.00096125,             0.00096125,             0.00096125
                      9,                0.19834,                 1.2829,                0.95255,                0.24971,                0.91667,                0.35123,                 0.3474,                0.25549,                 1.5938,                0.65828,                0.00092,                0.00092,                0.00092
                     10,                0.19882,                 1.2658,                0.93762,                0.32827,                0.85714,                0.39621,                0.39145,                0.28637,                 1.5196,                0.66297,             0.00087875,             0.00087875,             0.00087875
                     11,                0.19346,                 1.2957,                0.92882,                0.28839,                0.46643,                0.36907,                0.36907,                0.20916,                 1.8438,                0.57735,              0.0008375,              0.0008375,              0.0008375
                     12,                0.17784,                 1.2803,                0.91116,                 0.1132,                0.78874,                0.26913,                0.24285,                0.30406,                 1.7679,                0.66988,             0.00079625,             0.00079625,             0.00079625
                     13,                0.16857,                   1.24,                  0.913,                0.17215,                0.50615,                0.24619,                0.23145,                0.28642,                 1.8738,                0.68427,               0.000755,               0.000755,               0.000755
                     14,                  0.161,                 1.2023,                0.91908,                 0.3212,                  0.488,                0.34393,                 0.3132,                0.22873,                 1.5404,                0.60996,             0.00071375,             0.00071375,             0.00071375
                     15,                0.15641,                 1.2264,                0.90452,                  0.295,                0.79863,                0.40379,                0.38466,                0.18901,                 1.4165,                0.57676,              0.0006725,              0.0006725,              0.0006725
                     16,                0.15021,                  1.231,                0.93271,                0.33624,                0.75443,                 0.4339,                0.40572,                0.21669,                 1.2415,                0.60275,             0.00063125,             0.00063125,             0.00063125
                     17,                0.17089,                 1.1995,                 0.9353,                 0.2651,                0.88077,                0.52027,                0.49873,                0.20056,                 1.1523,                0.59214,                0.00059,                0.00059,                0.00059
                     18,                0.15211,                 1.2006,                 0.9184,                0.30202,                 0.8772,                0.49059,                0.47929,                0.22155,                 1.1577,                0.61064,             0.00054875,             0.00054875,             0.00054875
                     19,                0.12446,                 1.1849,                0.90412,                0.30803,                0.89505,                0.49638,                0.48977,                0.17592,                 1.2017,                0.55936,              0.0005075,              0.0005075,              0.0005075
                     20,                0.12895,                 1.1528,                0.91431,                0.27969,                0.88328,                0.44524,                0.42721,                0.16056,                 1.3604,                  0.558,             0.00046625,             0.00046625,             0.00046625
                     21,                0.14642,                 1.3229,                 0.9395,                0.30236,                0.84399,                 0.4177,                 0.4177,                0.18334,                 1.3109,                0.57035,               0.000425,               0.000425,               0.000425
                     22,                0.09942,                 1.1491,                 0.9099,                0.27635,                0.85779,                0.39203,                0.39203,                0.15241,                 1.3119,                0.52341,             0.00038375,             0.00038375,             0.00038375
                     23,                0.09613,                 1.0561,                0.90861,                0.27325,                0.81429,                0.47336,                0.47336,                0.16104,                 1.1945,                0.52341,              0.0003425,              0.0003425,              0.0003425
                     24,                0.09694,                 1.1158,                0.88887,                 0.2608,                0.84832,                0.42472,                0.42472,                0.13189,                 1.2045,                0.51417,             0.00030125,             0.00030125,             0.00030125
                     25,                0.09594,                 1.0755,                0.89617,                0.27122,                      1,                0.41961,                0.41961,                0.15168,                 1.1956,                0.54047,                0.00026,                0.00026,                0.00026
                     26,                0.08322,                 1.0437,                0.87838,                0.27715,                  0.975,                0.40514,                0.40367,                0.13342,                 1.2214,                0.53848,             0.00021875,             0.00021875,             0.00021875
                     27,                0.08207,                 1.0541,                0.89507,                0.27571,                0.98214,                0.41921,                0.41921,                0.11792,                 1.1621,                0.51403,              0.0001775,              0.0001775,              0.0001775
                     28,                0.07208,                0.97553,                0.87799,                0.28233,                0.94643,                0.45688,                0.45688,                0.10749,                 1.1332,                0.49445,             0.00013625,             0.00013625,             0.00013625
                     29,                0.07162,                 1.0144,                0.87701,                0.28184,                0.93679,                0.42909,                0.42909,                0.10367,                  1.196,                0.49527,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                 0.0685,                 1.0105,                0.89155,                0.27067,                0.89148,                0.41586,                0.41586,                0.09835,                 1.2261,                0.49026,              5.375e-05,              5.375e-05,              5.375e-05
